source	relation	target	status	note
CLAIM_PARENT_ACTION_CURRENT_EXACT	FEEDS_OR_STATUS_OF	MATH_PARENT_ACTION_CURRENT	exact_parent_current	Claim feeds this downstream object, output, or open gate.
CLAIM_PARENT_WALL_STATUS_SPLIT	OPENS_REQUIRED_WORK	CLAIM_BRANCH_EXPORTER_REQUIRED	active	Claim-level dependency added in v0.4.
CLAIM_PARENT_WALL_STATUS_SPLIT	STATUS_LIMITS	CLAIM_STAGE1_GEOMETRY_LIFT	active	Claim-level dependency added in v0.4.
CLAIM_PARENT_WALL_STATUS_SPLIT	FEEDS_OR_STATUS_OF	MATH_PARENT_ACTION_PROMOTED	strict_parent_fail_effective_wall_pass	Claim feeds this downstream object, output, or open gate.
CLAIM_PARENT_WALL_STATUS_SPLIT	FEEDS_OR_STATUS_OF	MT_V2_01_PARENT_WALL_AUDIT	strict_parent_fail_effective_wall_pass	Claim feeds this downstream object, output, or open gate.
CLAIM_PARENT_WALL_STATUS_SPLIT	FEEDS_OR_STATUS_OF	OPEN_PARENT_PROMOTION_S_SIGMA	strict_parent_fail_effective_wall_pass	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	BACKBONE_FOR	CLAIM_1PN_EIH_WITHIN_HIERARCHY	active	Claim-level dependency added in v0.4.
CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	FEEDS_OR_STATUS_OF	MATH_LONGITUDINAL_IDENTITY	exact_projection_plus_controlled_hook	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	FEEDS_OR_STATUS_OF	MATH_POISSON_HOOK	exact_projection_plus_controlled_hook	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	FEEDS_OR_STATUS_OF	MATH_PROJECTED_CONTINUITY	exact_projection_plus_controlled_hook	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	FEEDS_OR_STATUS_OF	PN_0_NEWTONIAN_HOOK	exact_projection_plus_controlled_hook	Claim feeds this downstream object, output, or open gate.
CLAIM_RESPONSE_READOUT_DISCIPLINE	ORGANIZES	CLAIM_PACKET_A_PACKET_B_SPLIT	active	Claim-level dependency added in v0.4.
CLAIM_RESPONSE_READOUT_DISCIPLINE	FEEDS_OR_STATUS_OF	READOUT_D0_C_P0_N2_N4	paper_facing_ontology_discipline	Claim feeds this downstream object, output, or open gate.
CLAIM_RESPONSE_READOUT_DISCIPLINE	FEEDS_OR_STATUS_OF	TARGET_PACKET_A	paper_facing_ontology_discipline	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE1_GEOMETRY_LIFT	LIFTS_THEN_REDUCES_TO	CLAIM_STAGE2_AL_RECOVERY	active	Claim-level dependency added in v0.4.
CLAIM_STAGE1_GEOMETRY_LIFT	FEEDS_OR_STATUS_OF	MATH_SIGMA_R_FIELD	effective_geometry_lift	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE1_GEOMETRY_LIFT	FEEDS_OR_STATUS_OF	MT_STAGE1_GEOMETRY_LIFT	effective_geometry_lift	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE2_AL_RECOVERY	PREPARES	CLAIM_STAGE3_BDG_SCHUR	active	Claim-level dependency added in v0.4.
CLAIM_STAGE2_AL_RECOVERY	FEEDS_OR_STATUS_OF	MATH_WALL_ACTION_S_ETA	exact_within_wall_action	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE2_AL_RECOVERY	FEEDS_OR_STATUS_OF	MT_STAGE2_BREATHING_REDUCTION	exact_within_wall_action	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE3_BDG_SCHUR	PREPARES	CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	active	Claim-level dependency added in v0.4.
CLAIM_STAGE3_BDG_SCHUR	FEEDS_OR_STATUS_OF	MATH_BDG_SCHUR_COMPLEMENT	exact_within_reduced_stable_modes	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE3_BDG_SCHUR	FEEDS_OR_STATUS_OF	MT_STAGE3_BDG_COUPLING	exact_within_reduced_stable_modes	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	FEEDS	CLAIM_STAGE022_P0_TARGET	active	Claim-level dependency added in v0.4.
CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	FEEDS_OR_STATUS_OF	MATH_COMPACT_L2_OUTGOING_FINGERPRINT	exact_within_reduced_mixed_kernel	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	FEEDS_OR_STATUS_OF	MATH_MAXWELL_MIXED_KERNEL	exact_within_reduced_mixed_kernel	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	FEEDS_OR_STATUS_OF	MT_STAGE004_020_PROJECTED_MAXWELL	exact_within_reduced_mixed_kernel	Claim feeds this downstream object, output, or open gate.
CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	FEEDS_OR_STATUS_OF	MT_STAGE021_REDUCED_ONE_PORT	retained_reduced_adapter	Retained reduced one-port adapter closes the projection-first EM packet for downstream grouped normalization.
CLAIM_STAGE022_P0_TARGET	GENERALIZES_TO	CLAIM_STAGE023_FULL_BUNDLE_RATIO	active	Claim-level dependency added in v0.4.
CLAIM_STAGE022_P0_TARGET	FEEDS_OR_STATUS_OF	MT_STAGE022_GROUPED_P2_BRIDGE	exact_within_grouped_bridge	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE022_P0_TARGET	FEEDS_OR_STATUS_OF	OPEN_QUAD_NORMALIZATION	exact_within_grouped_bridge	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE022_P0_TARGET	FEEDS_OR_STATUS_OF	READOUT_D0_C_P0_N2_N4	exact_within_grouped_bridge	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE023_FULL_BUNDLE_RATIO	DEFINES_PACKET_A	CLAIM_PACKET_A_PACKET_B_SPLIT	active	Claim-level dependency added in v0.4.
CLAIM_STAGE023_FULL_BUNDLE_RATIO	ANGULARLY_REFINED_BY	CLAIM_STAGE024_O3_ISOTROPY	active	Claim-level dependency added in v0.4.
CLAIM_STAGE023_FULL_BUNDLE_RATIO	FEEDS_OR_STATUS_OF	MATH_FULL_BUNDLE_TARGET_SURFACE	exact_within_reduced_bundle	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE023_FULL_BUNDLE_RATIO	FEEDS_OR_STATUS_OF	MT_STAGE023_FULL_GROUPED_BUNDLE	exact_within_reduced_bundle	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE023_FULL_BUNDLE_RATIO	FEEDS_OR_STATUS_OF	TARGET_PACKET_A	exact_within_reduced_bundle	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE024_O3_ISOTROPY	RADIAL_AXIAL_CONTINUATION_FOR	CLAIM_STAGE025_031_SELECTED_BRANCH	active	Claim-level dependency added in v0.4.
CLAIM_STAGE024_O3_ISOTROPY	FEEDS_OR_STATUS_OF	MATH_STF_SOURCE_MAP	exact_angular_reduced	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE024_O3_ISOTROPY	FEEDS_OR_STATUS_OF	MATH_WEAK_AXISYM_SPLITTING	exact_angular_reduced	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE024_O3_ISOTROPY	FEEDS_OR_STATUS_OF	MT_STAGE024_OVERLAP_ISOTROPY	exact_angular_reduced	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE024_O3_ISOTROPY	FEEDS_OR_STATUS_OF	OPEN_WEAK_AXISYM_ORBIT_LOCK	exact_angular_reduced	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE025_031_SELECTED_BRANCH	FEEDS_OR_STATUS_OF	MT_STAGE025_MINIMAL_NORMALIZATION	exact_within_selected_reduced_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_STAGE025_031_SELECTED_BRANCH	FEEDS_OR_STATUS_OF	OPEN_SOURCE_PORT_NORMALIZATION	exact_within_selected_reduced_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_ZERO_MODE_MAXWELL_REDUCTION	FEEDS_OR_STATUS_OF	ATOM_HYDROGEN_ZERO_MODE	controlled_reduction	Claim feeds this downstream object, output, or open gate.
CLAIM_ZERO_MODE_MAXWELL_REDUCTION	SUPPORTS_REDUCED_SECTOR	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	active	Claim-level dependency added in v0.4.
CLAIM_ZERO_MODE_MAXWELL_REDUCTION	FEEDS_OR_STATUS_OF	MATH_ZERO_MODE_MAXWELL	controlled_reduction	Claim feeds this downstream object, output, or open gate.
CLAIM_ZERO_MODE_MAXWELL_REDUCTION	FEEDS_OR_STATUS_OF	MATH_Z_PROFILE	controlled_reduction	Claim feeds this downstream object, output, or open gate.
EQ_1PN_EIH_EQUALITY	SUPPORTS_CLAIM	CLAIM_1PN_EIH_WITHIN_HIERARCHY	exact_assembly_within_closure	Equation anchor supports this named claim.
EQ_1PN_EIH_EQUALITY	FEEDS	EQ_2PN_ADM_EQUALITY	derivation	2PN imports the 1PN conservative ledger.
EQ_1PN_EIH_EQUALITY	ANCHORS	PN_1_EIH_FULL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_2PN_ADM_EQUALITY	SUPPORTS_CLAIM	CLAIM_2PN_ADM_WITHIN_HIERARCHY	exact_assembly_within_closure	Equation anchor supports this named claim.
EQ_2PN_ADM_EQUALITY	EXPOSES_SUPPORT_STRUCTURE_FOR	EQ_P0_TARGET	derivation	2PN P0/P2 support structure supplies quadrupole representation content.
EQ_2PN_ADM_EQUALITY	ANCHORS	PN_2_ADM_FULL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_3PN_SPLIT	SUPPORTS_CLAIM	CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	exact_assembly_within_closure	Equation anchor supports this named claim.
EQ_3PN_SPLIT	ANCHORS	PN_3_GROUPED_P2_FULL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_4PN_TAIL_BRIDGE	SUPPORTS_CLAIM	CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	local_closed_tail_conditional	Equation anchor supports this named claim.
EQ_4PN_TAIL_BRIDGE	ANCHORS	PN_4_LOCAL_TAIL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_BDG_SCHUR_KERNEL	SUPPORTS_CLAIM	CLAIM_STAGE3_BDG_SCHUR	exact_within_reduced_stable_modes	Equation anchor supports this named claim.
EQ_BDG_SCHUR_KERNEL	FEEDS	EQ_GROUPED_RESPONSE_MOMENTS	reduced	BdG-dressed operator moments enter normalized response.
EQ_BDG_SCHUR_KERNEL	ANCHORS	MATH_BDG_SCHUR_COMPLEMENT	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_BULK_CONTINUITY	SUPPORTS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Equation anchor supports this named claim.
EQ_BULK_CONTINUITY	PROJECTS_TO	EQ_PROJECTED_CONTINUITY	exact	Projection with W(w) gives the open brane identity.
EQ_BULK_CONTINUITY	ANCHORS	MATH_PROJECTED_CONTINUITY	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_COMPACT_L2_FINGERPRINT	SUPPORTS_CLAIM	CLAIM_25PN_QUAD_NARROWING	conditional_theorem_open_normalization	Equation anchor supports this named claim.
EQ_COMPACT_L2_FINGERPRINT	SUPPORTS_CLAIM	CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	exact_within_reduced_mixed_kernel	Equation anchor supports this named claim.
EQ_COMPACT_L2_FINGERPRINT	FEEDS	EQ_P0_TARGET	conditional	The iω^5 coefficient sets the universal quadrupole target.
EQ_COMPACT_L2_FINGERPRINT	ANCHORS	MATH_COMPACT_L2_OUTGOING_FINGERPRINT	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_5PN_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Equation anchor supports this named claim.
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_BRANCH_EXPORTER_REQUIRED	open_actual_branch	Equation anchor supports this named claim.
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_PACKET_A_PACKET_B_SPLIT	open_branch_packets	Equation anchor supports this named claim.
